gx,gy,gz,wx,wy,wz
-0.021652,0.999095,-0.037034,0.000000,0.000000,-0.001953
-0.021652,0.999095,-0.037034,0.001953,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.003906,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.001953,-0.001953,0.000000
-0.021700,0.999092,-0.037204,-0.001953,-0.001953,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,-0.001953
-0.021700,0.999092,-0.037204,-0.001953,-0.003906,0.001953
-0.021676,0.999011,-0.037034,0.000000,0.000000,0.000000
-0.021676,0.999011,-0.037034,0.000000,0.000000,0.000000
-0.021676,0.999011,-0.037034,0.000000,0.000000,0.000000
-0.021676,0.999011,-0.037034,0.000000,0.000000,0.000000
-0.021676,0.999011,-0.037034,0.000000,0.000000,0.000000
-0.021676,0.999011,-0.037034,0.000000,0.000000,0.000000
-0.021676,0.999011,-0.037034,0.000000,0.000000,0.000000
-0.021676,0.999011,-0.037034,0.000000,0.000000,0.000000
-0.021676,0.999011,-0.037034,0.000000,0.000000,0.000000
-0.021676,0.999011,-0.037034,0.000000,0.000000,0.000000
-0.021676,0.999011,-0.037034,0.000000,0.000000,0.000000
-0.021676,0.999011,-0.037034,0.000000,0.000000,0.000000
-0.021676,0.999011,-0.037034,0.000000,0.000000,0.000000
-0.021676,0.999011,-0.037034,0.000000,0.000000,0.000000
-0.021676,0.999011,-0.037034,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.000000,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.003906,-0.001953,0.000000
-0.021785,0.999115,-0.037204,-0.003906,0.000000,-0.001953
-0.021761,0.999034,-0.037034,-0.001953,0.000000,0.000000
-0.021761,0.999034,-0.037034,0.000000,0.001953,0.000000
-0.021866,0.999091,-0.037156,0.000000,0.000000,-0.001953
-0.021866,0.999091,-0.037156,0.000000,0.000000,0.000000
-0.021866,0.999091,-0.037156,0.001953,0.000000,0.000000
-0.021866,0.999091,-0.037156,0.001953,0.000000,0.000000
-0.021785,0.999115,-0.037204,0.001953,0.000000,0.000000
-0.021866,0.999091,-0.037156,-0.001953,0.001953,0.000000
-0.021700,0.999092,-0.037204,0.000000,0.000000,0.007812
-0.021700,0.999092,-0.037204,0.003906,-0.001953,0.007812
-0.021619,0.999116,-0.037251,0.001953,-0.001953,0.005859
-0.021535,0.999093,-0.037251,0.001953,-0.005859,0.007812
-0.021538,0.999141,-0.037298,0.005859,-0.005859,0.001953
-0.021562,0.999056,-0.037298,0.001953,-0.005859,-0.001953
-0.021647,0.999080,-0.037298,0.000000,-0.005859,-0.011719
-0.021812,0.999079,-0.037251,-0.003906,-0.003906,-0.019531
-0.021978,0.999078,-0.037204,-0.005859,-0.003906,-0.027344
-0.022252,0.999016,-0.037156,-0.009766,-0.001953,-0.033203
-0.022749,0.999013,-0.037014,-0.001953,0.000000,-0.048828
-0.023210,0.998983,-0.037042,0.000000,0.003906,-0.056641
-0.023921,0.998975,-0.037022,0.003906,0.001953,-0.066406
-0.024657,0.999048,-0.037172,0.001953,0.003906,-0.082031
-0.025449,0.999015,-0.037106,-0.001953,0.000000,-0.095703
-0.026540,0.999000,-0.037163,-0.001953,0.001953,-0.111328
-0.027687,0.998879,-0.037004,0.000000,0.000000,-0.128906
