t_s,iteration,sensor_mode,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.2285,46,enc,-0.0000,0.0000,-0.0000,-0.0371,-0.0075,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2336,47,enc,-0.0000,0.0000,-0.0000,-0.0371,-0.0075,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2387,48,enc,-0.0000,0.0000,-0.0000,-0.134,-0.1906,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2438,49,enc,-0.0000,0.0000,-0.0000,-0.134,-0.1906,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2488,50,enc,-0.0000,0.0000,-0.0000,-0.134,-0.1906,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2539,51,enc,-0.0000,0.0000,-0.0000,-0.134,-0.1906,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2590,52,enc,-0.0000,0.0000,-0.0000,-0.134,-0.1906,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2640,53,enc,-0.0000,0.0000,-0.0000,-0.134,-0.1906,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2691,54,enc,-0.0000,0.0000,-0.0000,-0.134,-0.1906,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2742,55,enc,-0.0000,0.0000,-0.0000,-0.134,-0.1906,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2793,56,enc,-0.0000,0.0000,-0.0000,-0.134,-0.1906,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2843,57,enc,0.1800,10.8000,0.1800,-0.134,-0.1906,90.00,84.92,89.8200,0.0000,0.550000,0.798400,0.001497,-0.060000,0.000000,1268
0.2894,58,enc,0.1800,7.5600,0.1800,-0.0752,-0.1735,90.00,84.92,89.8200,0.0000,0.550000,0.798400,0.001497,-0.042000,0.000000,1268
0.2945,59,enc,0.1800,5.2920,0.1800,-0.0752,-0.1735,90.00,84.92,89.8200,0.0000,0.550000,0.798400,0.001497,-0.029400,0.000000,1268
0.2996,60,enc,0.1800,3.7044,0.1800,-0.0752,-0.1735,90.00,84.92,89.8200,0.0000,0.550000,0.798400,0.001497,-0.020580,0.000000,1268
0.3046,61,enc,0.1800,2.5931,0.1800,-0.0752,-0.1735,90.00,84.92,89.8200,0.0000,0.550000,0.798400,0.001497,-0.014406,0.000000,1268
0.3097,62,enc,0.1800,1.8152,0.1800,-0.0752,-0.1735,90.00,84.92,89.8200,0.0000,0.550000,0.798400,0.001497,-0.010084,0.000000,1268
0.3148,63,enc,0.1800,1.2706,0.1800,-0.0752,-0.1735,90.00,84.92,89.8200,0.0000,0.550000,0.798400,0.001497,-0.007059,0.000000,1268
0.3198,64,enc,0.1800,0.8894,0.1800,-0.0752,-0.1735,90.00,84.92,89.8200,0.0000,0.550000,0.798400,0.001497,-0.004941,0.000000,1268
0.3249,65,enc,0.1800,0.6226,0.1800,-0.0752,-0.1735,90.00,84.92,89.8200,0.0000,0.550000,0.798400,0.001497,-0.003459,0.000000,1268
0.3300,66,enc,0.1800,0.4358,0.1800,-0.0752,-0.1735,90.00,84.92,89.8200,0.0000,0.550000,0.798400,0.001497,-0.002421,0.000000,1268
0.3351,67,enc,0.1800,0.3051,0.1800,-0.0752,-0.1735,90.00,84.92,89.8200,0.0000,0.550000,0.798400,0.001497,-0.001695,0.000000,1268
0.3401,68,enc,0.1800,0.2136,0.1800,0.0221,-0.2843,90.00,84.92,89.8200,0.0000,0.550000,0.798400,0.001497,-0.001186,0.000000,1268
0.3452,69,enc,0.1800,0.1495,0.1800,0.0221,-0.2843,90.00,84.92,89.8200,0.0000,0.550000,0.798400,0.001497,-0.000830,0.000000,1268
0.3509,70,enc,0.1800,0.1046,0.1800,0.0221,-0.2843,90.00,84.92,89.8200,0.0000,0.550000,0.798400,0.001497,-0.000581,0.000000,1268
0.3560,71,enc,0.3600,10.8732,0.3600,0.0221,-0.2843,90.00,84.92,89.6400,0.0000,0.550000,0.796800,0.001494,-0.060407,0.000000,1268
0.3611,72,enc,0.3600,7.6113,0.3600,0.0221,-0.2843,90.00,84.92,89.6400,0.0000,0.550000,0.796800,0.001494,-0.042285,0.000000,1268
0.3662,73,enc,0.3600,5.3279,0.3600,0.0221,-0.2843,90.00,84.92,89.6400,0.0000,0.550000,0.796800,0.001494,-0.029599,0.000000,1268
0.3712,74,enc,0.3600,3.7295,0.3600,0.0221,-0.2843,90.00,84.92,89.6400,0.0000,0.550000,0.796800,0.001494,-0.020720,0.000000,1268
0.3763,75,enc,0.5400,13.4107,0.5400,0.0221,-0.2843,90.00,84.92,89.4600,0.0000,0.550000,0.795200,0.001491,-0.074504,0.000000,1268
0.3814,76,enc,0.5400,9.3875,0.5400,0.0221,-0.2843,90.00,84.92,89.4600,0.0000,0.550000,0.795200,0.001491,-0.052153,0.000000,1268
0.3864,77,enc,0.5400,6.5712,0.5400,0.4266,-0.3747,90.00,84.92,89.4600,0.0000,0.550000,0.795200,0.001491,-0.036507,0.000000,1268
