t_s,psi_deg,psi_dot_dps,pwm_us
9.6453,31.2017,0.4476,1300
9.6654,31.2017,0.4476,1300
9.6855,31.1470,-1.6786,1300
9.7056,31.1470,-1.6786,1300
9.7257,31.0257,-1.6786,1300
9.7458,31.0257,-3.5810,1300
9.7659,31.0257,-3.5810,1300
9.7860,30.8160,-4.5881,1300
9.8062,30.8160,-4.5881,1300
9.8263,30.5837,-4.5881,1300
9.8464,30.5837,-4.4762,1300
9.8665,30.5837,-4.4762,1300
9.8866,30.3507,-5.3715,1300
9.9067,30.3507,-5.3715,1300
9.9268,30.1066,-5.3715,1300
9.9469,30.1066,-5.2596,1300
9.9670,30.1066,-5.2596,1300
9.9871,29.8549,-3.5810,1300
10.0072,29.8549,-3.5810,1300
10.0273,29.6534,-3.5810,1300
10.0474,29.6534,-4.2524,1300
10.0675,29.6534,-4.2524,1300
10.0876,29.4749,-2.6857,1300
10.1077,29.4749,-2.6857,1300
10.1278,29.3285,-2.6857,1300
10.1479,29.3285,-2.3500,1300
10.1680,29.3285,-2.3500,1300
10.1881,29.2603,-0.5595,1300
10.2082,29.2603,-0.5595,1300
10.2283,29.2722,-0.5595,1300
10.2484,29.2722,0.7833,1300
10.2685,29.2722,0.7833,1300
10.2885,29.3900,1.5667,1300
10.3086,29.3900,1.5667,1300
10.3287,29.5362,2.7976,1300
10.3488,29.5362,2.7976,1300
10.3689,29.5362,2.7976,1300
10.3890,29.7162,2.1262,1300
10.4091,29.7162,2.1262,1300
10.4292,29.8890,3.3572,1300
10.4493,29.8890,3.3572,1300
10.4694,29.8890,3.3572,1300
10.4895,30.0848,3.5810,1300
10.5095,30.0848,3.5810,1300
10.5296,30.2904,3.8048,1300
10.5498,30.2904,3.8048,1300
10.5699,30.2904,3.8048,1300
10.5900,30.4850,3.2453,1300
10.6100,30.4850,3.2453,1300
10.6301,30.6394,2.5738,1300
10.6502,30.6394,2.5738,1300
10.6704,30.7561,2.5738,1300
10.6904,30.7561,1.7905,1300
10.7105,30.7561,1.7905,1300
10.7306,30.8114,0.2238,1300
10.7508,30.8114,0.2238,1300
10.7709,30.8115,0.2238,1300
10.7909,30.8115,-0.2238,1300
10.8110,30.8115,-0.2238,1300
10.8311,30.7730,-1.3429,1300
10.8512,30.7730,-1.3429,1300
10.8713,30.6897,-1.3429,1300
10.8914,30.6897,-1.5667,1300
10.9115,30.6897,-1.5667,1300
10.9316,30.5959,-2.2381,1300
10.9517,30.5959,-2.2381,1300
10.9718,30.4737,-2.2381,1300
10.9919,30.4737,-2.6857,1300
11.0120,30.4737,-2.6857,1300
11.0321,30.3746,-2.9096,1300
11.0522,30.3746,-2.9096,1300
11.0723,30.2353,-2.9096,1300
11.0924,30.2353,-2.3500,1300
11.1125,30.2353,-2.3500,1300
11.1326,30.1295,-2.1262,1300
11.1527,30.1295,-2.1262,1300
11.1728,30.0687,-2.1262,1300
11.1929,30.0687,-1.3429,1300
11.2131,30.0687,-1.3429,1300
11.2332,30.0235,-0.1119,1300
11.2533,30.0235,-0.1119,1300
11.2734,30.0521,-0.1119,1300
11.2936,30.0521,0.6714,1300
11.3137,30.0521,0.6714,1300
11.3338,30.0740,0.6714,1300
11.3539,30.0740,0.6714,1300
11.3740,30.1077,0.6714,1300
11.3940,30.1077,0.6714,1300
11.4141,30.1077,0.6714,1300
11.4342,30.1517,0.6714,1300
11.4543,30.1517,0.6714,1300
11.4744,30.2022,0.6714,1300
11.4945,30.2022,0.8952,1300
11.5146,30.2022,0.8952,1300
11.5347,30.2743,2.1262,1300
11.5548,30.2743,2.1262,1300
11.5749,30.3583,2.1262,1300
11.5950,30.3583,0.7833,1300
11.6151,30.3583,0.7833,1300
11.6352,30.4020,0.6714,1300
11.6553,30.4020,0.6714,1300
11.6754,30.4355,0.6714,1300
11.6955,30.4355,0.1119,1300
11.7156,30.4355,0.1119,1300
11.7357,30.4407,-1.0072,1300
11.7561,30.4407,-1.0072,1300
11.7762,30.4240,-1.0072,1300
11.7963,30.4240,-0.5595,1300
11.8164,30.4240,-0.5595,1300
11.8365,30.3970,-0.5595,1300
11.8566,30.3970,-0.5595,1300
11.8767,30.3853,-0.5595,1300
11.8968,30.3853,-0.2238,1300
11.9169,30.3853,-0.2238,1300
11.9370,30.3467,-1.0072,1300
11.9571,30.3467,-1.0072,1300
11.9772,30.2796,-1.0072,1300
11.9973,30.2796,-1.7905,1300
12.0189,30.2796,-1.7905,1300
12.0390,30.2189,-1.6786,1300
12.0591,30.2189,-1.6786,1300
12.0792,30.1802,-0.5595,1300
12.0993,30.1802,-0.5595,1300
12.1194,30.1802,-0.5595,1300
12.1395,30.1516,-0.0000,1300
12.1596,30.1516,-0.0000,1300
12.1797,30.1633,-0.0000,1300
12.1998,30.1633,-0.2238,1300
12.2199,30.1633,-0.2238,1300
12.2399,30.1748,-0.3357,1300
12.2600,30.1748,-0.3357,1300
12.2801,30.1683,-0.6714,1300
12.3002,30.1683,-0.6714,1300
12.3203,30.1683,-0.6714,1300
12.3404,30.1966,0.4476,1300
12.3605,30.1966,0.4476,1300
12.3806,30.2354,0.8952,1300
12.4007,30.2354,0.8952,1300
12.4208,30.2354,0.8952,1300
12.4409,30.2907,1.1191,1300
12.4610,30.2907,1.1191,1300
12.4811,30.3461,0.8952,1300
12.5012,30.3461,0.8952,1300
12.5212,30.3847,0.8952,1300
12.5413,30.3847,-0.0000,1300
12.5615,30.3847,-0.0000,1300
12.5816,30.4131,-0.1119,1300
12.6016,30.4131,-0.1119,1300
12.6217,30.4233,-0.1119,1300
12.6418,30.4233,-0.7833,1300
12.6619,30.4233,-0.7833,1300
12.6821,30.4130,0.6714,1300
12.7022,30.4130,0.6714,1300
12.7223,30.4350,0.6714,1300
12.7423,30.4350,-0.0000,1300
12.7624,30.4350,-0.0000,1300
12.7825,30.4350,-0.0000,1300
12.8026,30.4350,-0.0000,1300
12.8227,30.4182,-0.0000,1300
12.8428,30.4182,-1.0072,1300
12.8629,30.4182,-1.0072,1300
12.8830,30.4016,0.1119,1300
12.9031,30.4016,0.1119,1300
12.9232,30.3681,0.1119,1300
12.9433,30.3681,-0.5595,1300
12.9634,30.3681,-0.5595,1300
12.9834,30.3515,-0.3357,1300
13.0035,30.3515,-0.3357,1300
13.0236,30.3463,-0.3357,1300
13.0437,30.3463,-0.0000,1300
13.0638,30.3463,-0.0000,1300
13.0839,30.3463,0.1119,1300
13.1040,30.3463,0.1119,1300
13.1241,30.3296,0.1119,1300
13.1442,30.3296,-0.6714,1300
13.1643,30.3296,-0.6714,1300
13.1844,30.3129,0.2238,1300
13.2045,30.3129,0.2238,1300
13.2245,30.3296,0.2238,1300
13.2446,30.3296,-0.4476,1300
13.2647,30.3296,-0.4476,1300
13.2848,30.3297,0.3357,1300
13.3049,30.3297,0.3357,1300
13.3250,30.3465,0.3357,1300
13.3451,30.3465,-0.4476,1300
13.3652,30.3465,-0.4476,1300
13.3853,30.3633,-0.4476,1300
13.4054,30.3633,-0.4476,1300
13.4255,30.3801,-0.4476,1300
13.4456,30.3801,0.1119,1300
13.4657,30.3801,0.1119,1300
13.4858,30.3803,0.3357,1300
13.5059,30.3803,0.3357,1300
13.5260,30.3802,0.3357,1300
13.5461,30.3802,-0.7833,1300
13.5662,30.3802,-0.7833,1300
13.5863,30.3583,-1.0072,1300
13.6063,30.3583,-1.0072,1300
13.6264,30.3299,-1.0072,1300
13.6466,30.3299,-0.5595,1300
13.6667,30.3299,-0.5595,1300
13.6868,30.3196,-0.3357,1300
13.7069,30.3196,-0.3357,1300
13.7270,30.3195,-0.3357,1300
13.7471,30.3195,-0.3357,1300
13.7672,30.3195,-0.3357,1300
13.7873,30.3246,0.3357,1300
13.8074,30.3246,0.3357,1300
13.8275,30.3130,0.3357,1300
13.8476,30.3130,-0.4476,1300
13.8677,30.3130,-0.4476,1300
13.8878,30.3027,-0.3357,1300
13.9079,30.3027,-0.3357,1300
13.9280,30.2742,-0.3357,1300
13.9481,30.2742,-0.3357,1300
13.9682,30.2742,-0.3357,1300
13.9883,30.2522,0.1119,1300
14.0084,30.2522,0.1119,1300
14.0285,30.2573,0.1119,1300
14.0486,30.2573,0.2238,1300
14.0687,30.2573,0.2238,1300
14.0888,30.2858,-0.3357,1300
14.1089,30.2858,-0.3357,1300
14.1290,30.2909,-0.3357,1300
14.1491,30.2909,-0.1119,1300
14.1692,30.2909,-0.1119,1300
14.1893,30.2794,-0.2238,1300
14.2093,30.2794,-0.2238,1300
14.2294,30.2911,-0.2238,1300
14.2495,30.2911,0.1119,1300
14.2696,30.2911,0.1119,1300
14.2898,30.2795,0.3357,1300
14.3099,30.2795,0.3357,1300
14.3299,30.2911,0.3357,1300
14.3500,30.2911,-0.5595,1300
14.3701,30.2911,-0.5595,1300
14.3903,30.3194,1.2310,1300
14.4103,30.3194,1.2310,1300
14.4305,30.3413,-0.3357,1300
14.4505,30.3413,-0.3357,1300
14.4706,30.3413,-0.3357,1300
14.4908,30.3464,0.8952,1300
14.5109,30.3464,0.8952,1300
14.5310,30.3631,-0.6714,1300
14.5511,30.3631,-0.6714,1300
14.5712,30.3631,-0.6714,1300
14.5912,30.3515,-0.5595,1300
14.6113,30.3515,-0.5595,1300
14.6315,30.3463,0.8952,1300
14.6516,30.3463,0.8952,1300
14.6716,30.3463,0.8952,1300
14.6917,30.3799,-0.2238,1300
14.7118,30.3799,-0.2238,1300
14.7319,30.4017,0.2238,1300
14.7520,30.4017,0.2238,1300
14.7721,30.4069,0.2238,1300
14.7922,30.4069,-0.2238,1300
14.8123,30.4069,-0.2238,1300
14.8324,30.4018,-0.6714,1300
14.8525,30.4018,-0.6714,1300
14.8726,30.3967,-0.6714,1300
14.8927,30.3967,0.1119,1300
14.9128,30.3967,0.1119,1300
14.9329,30.3799,-0.5595,1300
14.9529,30.3799,-0.5595,1300
14.9732,30.3799,-0.5595,1300
14.9933,30.3799,0.6714,1300
