t_s,angle_deg
2.3924,18.3600
2.3975,18.3600
2.4026,18.5400
2.4076,18.5400
2.4127,18.7200
2.4178,18.9000
2.4229,18.9000
2.4279,19.0800
2.4330,19.2600
2.4381,19.2600
2.4432,19.4400
2.4483,19.4400
2.4534,19.6200
2.4584,19.6200
2.4635,19.8000
2.4686,19.9800
2.4737,19.9800
2.4788,20.1600
2.4839,20.1600
2.4889,20.1600
2.4940,20.3400
2.4991,20.3400
2.5042,20.5200
2.5092,20.7000
2.5143,20.7000
2.5194,20.7000
2.5245,20.8800
2.5296,20.8800
2.5347,21.0600
2.5398,21.0600
2.5448,21.2400
2.5499,21.2400
2.5550,21.2400
2.5601,21.4200
2.5652,21.4200
2.5702,21.4200
2.5753,21.6000
2.5804,21.6000
2.5855,21.6000
2.5906,21.7800
2.5956,21.7800
2.6007,21.7800
2.6058,21.9600
2.6109,21.9600
2.6159,21.9600
2.6210,21.9600
2.6261,22.1400
2.6312,22.1400
2.6362,22.1400
2.6413,22.3200
2.6464,22.3200
2.6515,22.3200
2.6565,22.3200
2.6616,22.3200
2.6667,22.5000
2.6718,22.5000
2.6769,22.5000
2.6819,22.5000
2.6870,22.5000
2.6921,22.5000
2.6972,22.5000
2.7022,22.6800
2.7073,22.6800
2.7124,22.6800
2.7175,22.6800
2.7225,22.6800
2.7276,22.6800
2.7327,22.6800
2.7378,22.6800
2.7429,22.6800
2.7479,22.6800
2.7530,22.6800
2.7581,22.8600
2.7632,22.8600
2.7682,22.8600
2.7734,22.6800
2.7784,22.6800
2.7835,22.6800
2.7886,22.6800
2.7937,22.6800
2.7988,22.6800
2.8038,22.6800
2.8089,22.6800
2.8140,22.6800
2.8191,22.6800
2.8241,22.6800
2.8292,22.6800
2.8343,22.6800
2.8394,22.6800
2.8445,22.6800
2.8495,22.6800
2.8546,22.5000
2.8597,22.5000
2.8648,22.5000
2.8699,22.5000
2.8749,22.5000
2.8800,22.5000
2.8851,22.3200
2.8902,22.3200
2.8953,22.3200
2.9004,22.3200
2.9054,22.3200
2.9105,22.1400
2.9156,22.1400
2.9207,22.1400
2.9257,22.1400
2.9308,21.9600
2.9359,21.9600
2.9410,21.9600
2.9460,21.7800
2.9511,21.7800
2.9562,21.7800
2.9613,21.7800
2.9663,21.6000
2.9714,21.6000
2.9765,21.6000
2.9816,21.4200
2.9867,21.4200
2.9917,21.4200
2.9968,21.2400
3.0019,21.2400
3.0070,21.2400
3.0121,21.0600
3.0172,21.0600
3.0223,21.0600
3.0274,20.8800
3.0325,20.8800
3.0376,20.7000
3.0427,20.7000
3.0478,20.7000
3.0529,20.5200
3.0580,20.5200
3.0630,20.3400
3.0682,20.3400
3.0733,20.1600
3.0784,20.1600
3.0835,19.9800
3.0886,19.9800
3.0936,19.9800
3.0987,19.8000
3.1038,19.6200
3.1088,19.6200
3.1139,19.4400
3.1189,19.4400
3.1240,19.2600
3.1291,19.2600
3.1341,19.0800
3.1392,19.0800
3.1443,18.9000
3.1499,18.9000
3.1549,18.7200
3.1600,18.5400
3.1651,18.5400
3.1701,18.3600
3.1752,18.3600
3.1802,18.1800
3.1853,18.1800
3.1904,18.0000
3.1954,17.8200
3.2005,17.8200
3.2056,17.6400
3.2106,17.6400
3.2157,17.4600
3.2207,17.2800
3.2258,17.2800
3.2308,17.1000
3.2359,16.9200
3.2410,16.9200
3.2460,16.7400
3.2511,16.5600
3.2562,16.5600
3.2612,16.3800
3.2663,16.2000
3.2713,16.0200
3.2764,16.0200
3.2815,15.8400
3.2865,15.6600
3.2916,15.6600
3.2966,15.4800
3.3017,15.3000
3.3068,15.1200
3.3118,14.9400
3.3169,14.9400
3.3220,14.7600
3.3270,14.5800
3.3321,14.4000
3.3372,14.4000
3.3422,14.2200
3.3473,14.0400
3.3523,13.8600
3.3574,13.6800
3.3625,13.6800
3.3675,13.5000
3.3726,13.3200
3.3776,13.1400
3.3827,12.9600
3.3878,12.9600
3.3928,12.7800
3.3979,12.6000
3.4030,12.4200
3.4080,12.2400
3.4131,12.0600
3.4181,11.8800
3.4232,11.7000
3.4283,11.7000
3.4333,11.5200
3.4384,11.3400
3.4435,11.1600
3.4485,10.9800
3.4536,10.8000
3.4587,10.6200
3.4637,10.4400
3.4688,10.2600
3.4739,10.0800
3.4790,9.9000
3.4840,9.7200
3.4891,9.5400
3.4941,9.3600
3.4992,9.1800
3.5043,9.0000
3.5093,8.8200
3.5144,8.6400
3.5195,8.4600
3.5245,8.2800
3.5296,8.1000
3.5347,7.9200
3.5398,7.9200
3.5448,7.5600
3.5499,7.3800
3.5549,7.2000
3.5600,7.0200
3.5651,6.8400
3.5701,6.6600
3.5752,6.4800
3.5803,6.3000
3.5853,6.1200
3.5904,5.9400
3.5954,5.7600
3.6005,5.5800
3.6056,5.4000
3.6106,5.2200
3.6157,5.0400
3.6208,4.8600
3.6258,4.5000
3.6309,4.3200
3.6359,4.1400
3.6410,3.9600
3.6461,3.7800
3.6511,3.6000
3.6562,3.4200
3.6613,3.2400
3.6663,2.8800
3.6714,2.7000
3.6764,2.5200
3.6815,2.3400
3.6866,2.1600
3.6916,1.9800
3.6967,1.6200
3.7017,1.4400
3.7068,1.2600
3.7119,1.0800
3.7169,0.9000
3.7220,0.7200
3.7271,0.5400
3.7321,0.1800
3.7372,-0.0000
3.7422,-0.1800
3.7473,-0.3600
3.7524,-0.5400
3.7574,-0.7200
3.7625,-0.9000
3.7675,-1.0800
3.7726,-1.0800
3.7777,-1.2600
3.7827,-1.0800
3.7878,-1.0800
3.7928,-0.9000
3.7979,-0.9000
3.8030,-0.7200
3.8080,-0.7200
