t_s,psi_deg,psi_dot_dps,pwm_us
4.5802,42.7131,13.6525,1300
4.6003,42.7131,13.6525,1300
4.6203,43.2032,-0.4476,1300
4.6404,43.2032,-0.4476,1300
4.6605,42.9639,-0.4476,1300
4.6806,42.9639,-15.3311,1300
4.7006,42.9639,-15.3311,1300
4.7207,42.0395,-27.5288,1300
4.7408,42.0395,-27.5288,1300
4.7608,40.5020,-27.5288,1300
4.7809,40.5020,-39.0551,1300
4.8010,40.5020,-39.0551,1300
4.8211,38.4551,-46.5528,1300
4.8411,38.4551,-46.5528,1300
4.8612,36.0396,-54.1624,1300
4.8813,36.0396,-54.1624,1300
4.9013,36.0396,-54.1624,1300
4.9214,33.3195,-56.8482,1300
4.9415,33.3195,-56.8482,1300
4.9616,30.4787,-56.7363,1300
4.9816,30.4787,-56.7363,1300
5.0017,30.4787,-56.7363,1300
5.0218,27.7381,-51.3648,1300
5.0419,27.7381,-51.3648,1300
5.0619,25.2491,-45.7695,1300
5.0820,25.2491,-45.7695,1300
5.1021,23.1139,-45.7695,1300
5.1222,23.1139,-36.9289,1300
5.1423,23.1139,-36.9289,1300
5.1623,21.4655,-24.2836,1300
5.1824,21.4655,-24.2836,1300
5.2025,20.4629,-24.2836,1300
5.2226,20.4629,-10.4072,1300
5.2426,20.4629,-10.4072,1300
5.2627,20.1639,2.4619,1300
5.2828,20.1639,2.4619,1300
5.3029,20.5249,2.4619,1300
5.3229,20.5249,15.6668,1300
5.3430,20.5249,15.6668,1300
5.3631,21.4555,25.9622,1300
5.3831,21.4555,25.9622,1300
5.4032,22.9238,25.9622,1300
5.4233,22.9238,36.2575,1300
5.4434,22.9238,36.2575,1300
5.4634,24.8320,41.4052,1300
5.4835,24.8320,41.4052,1300
5.5036,27.0158,41.4052,1300
5.5237,27.0158,46.8885,1300
5.5437,27.0158,46.8885,1300
5.5638,29.3381,46.3290,1300
5.5839,29.3381,46.3290,1300
5.6039,31.6248,46.3290,1300
5.6240,31.6248,43.9790,1300
5.6441,31.6248,43.9790,1300
5.6641,33.7632,38.4956,1300
