t_s,iteration,psi_enc_deg,psi_dot_enc_dps,phi_yaw_deg,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.4672,82,3.9600,51.1824,-0.1834,90.00,84.79,174.79,86.0400,5.6862,0.522120,0.764800,0.018954,-0.284347,0.022713,1279
0.4723,83,4.3200,57.4277,-0.1834,90.00,84.79,174.79,85.6800,6.1146,0.485652,0.761600,0.020382,-0.319043,0.022713,1292
0.4774,84,4.3200,40.1994,-0.1834,90.00,84.79,174.79,85.6800,6.5430,0.582793,0.761600,0.021810,-0.223330,0.022713,1272
0.4877,85,4.3200,28.1396,-0.1834,90.00,84.79,174.79,85.6800,6.9714,0.651220,0.761600,0.023238,-0.156331,0.022713,1252
0.4969,86,4.3200,19.6977,-0.3788,90.00,84.79,174.79,85.6800,7.3998,0.699548,0.761600,0.024666,-0.109432,0.022713,1232
0.5076,87,4.6800,35.3884,-0.3788,90.00,84.79,174.79,85.3200,7.8264,0.610599,0.758400,0.026088,-0.196602,0.022713,1246
0.5126,88,4.5000,13.9719,-0.3788,90.00,84.79,174.79,85.5000,7.8264,0.700000,0.760000,0.027513,-0.077622,0.022713,1226
0.5184,89,4.5000,9.7803,-0.3788,90.00,84.79,174.79,85.5000,7.8264,0.700000,0.760000,0.027513,-0.054335,0.022713,1212
0.5244,90,4.6800,17.6462,-0.3788,90.00,84.79,174.79,85.3200,7.8264,0.700000,0.758400,0.027510,-0.098035,0.022713,1212
0.5295,91,4.6800,12.3524,-0.3788,90.00,84.79,174.79,85.3200,7.8264,0.700000,0.758400,0.027510,-0.068624,0.022713,1212
0.5350,92,4.6800,8.6466,-0.3788,90.00,84.79,174.79,85.3200,7.8264,0.700000,0.758400,0.027510,-0.048037,0.022713,1212
0.5415,93,4.8600,16.8527,-0.3788,90.00,84.79,174.79,85.1400,7.8264,0.700000,0.756800,0.027507,-0.093626,0.022713,1212
0.5476,94,5.0400,22.5969,-0.5946,90.00,84.79,174.79,84.9600,8.2512,0.679879,0.755200,0.027504,-0.125538,0.022713,1220
0.5532,95,5.4000,37.4178,-0.5946,90.00,84.79,174.79,84.6000,8.6742,0.595751,0.752000,0.028914,-0.207877,0.022713,1240
0.5583,96,5.9400,58.5925,-0.5946,90.00,84.79,174.79,84.0600,9.0945,0.474715,0.747200,0.030315,-0.325514,0.022713,1260
0.5635,97,6.3000,62.6147,-0.5946,90.00,84.79,174.79,83.7000,9.5130,0.450564,0.744000,0.031710,-0.347860,0.022713,1280
0.5689,98,6.4800,54.6303,-0.5946,90.00,84.79,174.79,83.5200,9.9306,0.494713,0.742400,0.033102,-0.303502,0.022713,1289
0.5740,99,6.8400,59.8412,-0.5946,90.00,84.79,174.79,83.1600,10.3464,0.463950,0.739200,0.034488,-0.332451,0.022713,1301
0.5791,100,7.3800,74.2888,-0.5946,90.00,84.79,174.79,82.6200,10.7595,0.380262,0.734400,0.035865,-0.412716,0.022713,1321
0.5842,101,7.5600,62.8022,-0.5946,90.00,84.79,174.79,82.4400,11.1717,0.443851,0.732800,0.037239,-0.348901,0.022713,1308
0.5894,102,7.9200,65.5615,-0.5946,90.00,84.79,174.79,82.0800,11.5821,0.426689,0.729600,0.038607,-0.364231,0.022713,1314
0.5945,103,8.1000,56.6931,-0.7097,90.00,84.79,174.79,81.9000,11.9916,0.475724,0.728000,0.039972,-0.314962,0.022713,1296
0.5996,104,8.6400,72.0852,-0.7097,90.00,84.79,174.79,81.3600,12.3984,0.386768,0.723200,0.041328,-0.400473,0.022713,1316
0.6047,105,9.0000,72.0596,-0.7097,90.00,84.79,174.79,81.0000,12.8034,0.385060,0.720000,0.042678,-0.400331,0.022713,1330
0.6098,106,9.1800,61.2417,-0.7097,90.00,84.79,174.79,80.8200,13.2075,0.444906,0.718400,0.044025,-0.340232,0.022713,1310
0.6149,107,9.9000,86.0692,-0.7097,90.00,84.79,174.79,80.1000,13.6080,0.301911,0.712000,0.045360,-0.478162,0.022713,1330
0.6201,108,10.2600,81.8484,-0.7097,90.00,84.79,174.79,79.7400,14.0067,0.323489,0.708800,0.046689,-0.454714,0.022713,1350
