t_s,angle_deg
2.7938,23.0400
2.7989,23.0400
2.8040,23.0400
2.8091,23.0400
2.8141,23.0400
2.8192,23.0400
2.8243,23.0400
2.8294,22.8600
2.8345,22.8600
2.8395,22.8600
2.8446,22.8600
2.8497,22.8600
2.8548,22.8600
2.8599,22.8600
2.8650,22.8600
2.8701,22.6800
2.8752,22.6800
2.8803,22.6800
2.8854,22.6800
2.8904,22.6800
2.8955,22.6800
2.9006,22.5000
2.9057,22.5000
2.9108,22.5000
2.9159,22.3200
2.9210,22.3200
2.9260,22.3200
2.9311,22.3200
2.9362,22.3200
2.9412,22.1400
2.9463,22.1400
2.9514,22.1400
2.9565,21.9600
2.9616,21.9600
2.9666,21.9600
2.9717,21.9600
2.9768,21.7800
2.9819,21.7800
2.9869,21.6000
2.9921,21.6000
2.9971,21.6000
3.0022,21.4200
3.0074,21.4200
3.0124,21.4200
3.0175,21.2400
3.0227,21.2400
3.0278,21.0600
3.0329,21.0600
3.0380,21.0600
3.0431,20.8800
3.0482,20.8800
3.0533,20.7000
3.0584,20.7000
3.0634,20.5200
3.0685,20.5200
3.0736,20.5200
3.0787,20.3400
3.0838,20.3400
3.0889,20.1600
3.0940,20.1600
3.0991,19.9800
3.1042,19.9800
3.1092,19.8000
3.1143,19.6200
3.1194,19.6200
3.1244,19.4400
3.1295,19.4400
3.1346,19.2600
3.1397,19.2600
3.1448,19.0800
3.1498,19.0800
3.1549,18.9000
3.1600,18.9000
3.1650,18.7200
3.1701,18.5400
3.1752,18.5400
3.1802,18.3600
3.1853,18.3600
3.1904,18.1800
3.1955,18.0000
3.2005,18.0000
3.2056,17.8200
3.2107,17.6400
3.2157,17.6400
3.2208,17.4600
3.2259,17.2800
3.2309,17.2800
3.2360,17.1000
3.2411,16.9200
3.2461,16.9200
3.2512,16.7400
3.2563,16.5600
3.2614,16.5600
3.2665,16.3800
3.2716,16.2000
3.2766,16.0200
3.2817,16.0200
3.2868,15.8400
3.2919,15.6600
3.2969,15.4800
3.3020,15.4800
3.3071,15.3000
3.3122,15.1200
3.3173,14.9400
3.3223,14.9400
3.3274,14.7600
3.3325,14.5800
3.3376,14.4000
3.3426,14.2200
3.3477,14.2200
3.3528,14.0400
3.3579,13.8600
3.3630,13.6800
3.3680,13.5000
3.3731,13.3200
3.3782,13.1400
3.3833,13.1400
3.3883,12.9600
3.3934,12.7800
3.3985,12.6000
3.4036,12.4200
3.4086,12.2400
3.4137,12.0600
3.4188,11.8800
3.4239,11.7000
3.4289,11.7000
3.4340,11.5200
3.4391,11.3400
3.4442,11.1600
3.4492,10.9800
3.4543,10.8000
3.4594,10.6200
3.4645,10.4400
3.4696,10.2600
3.4746,10.0800
3.4797,9.9000
3.4848,9.7200
3.4899,9.5400
3.4950,9.3600
3.5000,9.1800
3.5051,9.0000
3.5102,8.8200
3.5153,8.6400
3.5203,8.4600
3.5254,8.2800
3.5305,8.1000
3.5356,7.9200
3.5407,7.7400
3.5458,7.5600
3.5508,7.3800
3.5559,7.2000
3.5610,7.0200
3.5661,6.8400
3.5711,6.6600
3.5762,6.3000
3.5813,6.1200
3.5864,5.9400
3.5914,5.7600
3.5965,5.5800
3.6016,5.4000
3.6067,5.2200
3.6117,5.0400
3.6168,4.8600
3.6219,4.6800
3.6270,4.5000
3.6320,4.3200
3.6371,3.9600
3.6422,3.7800
3.6473,3.6000
3.6523,3.4200
3.6574,3.2400
3.6625,2.8800
3.6676,2.7000
3.6727,2.5200
3.6777,2.3400
3.6828,2.1600
3.6879,1.9800
3.6930,1.6200
3.6980,1.4400
3.7031,1.2600
3.7082,1.0800
3.7133,0.9000
3.7183,0.5400
3.7234,0.3600
3.7285,0.1800
3.7336,-0.0000
3.7386,-0.1800
3.7437,-0.5400
3.7488,-0.7200
3.7539,-0.9000
3.7590,-0.9000
3.7640,-1.0800
3.7691,-1.2600
3.7742,-1.2600
3.7793,-1.0800
3.7844,-1.0800
3.7894,-0.9000
3.7945,-0.9000
3.7996,-0.7200
3.8047,-0.5400
3.8097,-0.3600
3.8148,-0.1800
3.8199,-0.0000
3.8249,-0.0000
3.8300,0.1800
3.8351,0.3600
3.8402,0.5400
3.8453,0.5400
3.8504,0.7200
3.8555,0.9000
3.8606,1.0800
3.8657,1.0800
3.8707,1.2600
3.8758,1.4400
3.8809,1.4400
3.8860,1.6200
3.8911,1.8000
3.8963,1.9800
3.9014,2.1600
3.9065,2.1600
3.9116,2.3400
3.9167,2.3400
3.9218,2.5200
3.9270,2.7000
3.9321,2.7000
3.9373,2.8800
3.9424,3.0600
3.9475,3.2400
3.9526,3.2400
3.9577,3.4200
3.9628,3.4200
3.9679,3.6000
3.9730,3.6000
3.9781,3.7800
3.9832,3.9600
3.9883,3.9600
3.9935,4.1400
3.9986,4.1400
