t,ref,angle,err,u,pwm,phase,P,I,D,FF,gz
3.4200003590012784,-90.0,-29.651072074539716,-60.34892792546029,-2.134022130164039,1900.0,down,-3.1598624770440993,-0.15,1.1758403468800602,-0.0,-1.228515625
3.440000376000171,-90.0,-29.651072074539716,-60.34892792546029,-2.486774234228057,1900.0,down,-3.1598624770440993,-0.15,0.823088242816042,-0.0,-1.228515625
3.460000263999973,-90.0,-33.18698451058529,-56.81301548941471,-1.530291082684299,1900.0,down,-2.9747225348304727,-0.15,1.5944314521461735,-0.0,-1.27734375
3.4800005960005365,-90.0,-33.18698451058529,-56.81301548941471,-2.008620518328151,1900.0,down,-2.9747225348304727,-0.15,1.1161020165023214,-0.0,-1.27734375
3.5000003180011845,-90.0,-36.866883136552104,-53.133116863447896,-1.0910373536054936,1900.0,down,-2.7820434933422646,-0.15,1.841006139736771,-0.0,-1.27734375
3.520000409000204,-90.0,-36.866883136552104,-53.133116863447896,-1.643339195526525,1900.0,down,-2.7820434933422646,-0.15,1.2887042978157395,-0.0,-1.322265625
3.5400005749997945,-90.0,-36.866883136552104,-53.133116863447896,-2.0299504848712466,1900.0,down,-2.7820434933422646,-0.15,0.9020930084710177,-0.0,-1.322265625
3.560000444000252,-90.0,-40.670647413014365,-49.329352586985635,-1.0060082808294284,1900.0,down,-2.5828788615602454,-0.15,1.726870580730817,-0.0,-1.359375
3.5800002949999907,-90.0,-40.670647413014365,-49.329352586985635,-1.5240694550486735,1900.0,down,-2.5828788615602454,-0.15,1.2088094065115718,-0.0,-1.359375
3.600000293999983,-90.0,-44.56442189988421,-45.43557810011579,-0.561508167044531,1875.0,down,-2.379001306182151,-0.15,1.9674931391376198,-0.0,-1.359375
3.6200004410002293,-90.0,-44.56442189988421,-45.43557810011579,-1.151756108785817,1900.0,down,-2.379001306182151,-0.15,1.3772451973963338,-0.0,-1.390625
3.64000070000111,-90.0,-44.56442189988421,-45.43557810011579,-1.5649296680047171,1900.0,down,-2.379001306182151,-0.15,0.9640716381774337,-0.0,-1.390625
3.6600003840012505,-90.0,-48.54407680177429,-41.45592319822571,-0.4997185774012296,1875.0,down,-2.17062706278881,-0.15,1.82090848538758,-0.0,-1.421875
3.680000401000143,-90.0,-48.54407680177429,-41.45592319822571,-1.0459911230175036,1900.0,down,-2.17062706278881,-0.15,1.274635939771306,-0.0,-1.421875
