t,ref,angle,err,u,pwm,state,P,I,D,gz
3.620000928999957,-60.0,-52.84248429254542,-7.1575157074545785,1.6735672509216208,1165.0,run,-0.3747666460748809,-0.012546430830181882,0.8208391304982224,-0.783203125
3.640000843999985,-60.0,-52.84248429254542,-7.1575157074545785,1.6163637093821372,1140.0,run,-0.3747666460748809,-0.015044875137347756,0.798257527199289,-0.783203125
3.6600009999999656,-60.0,-54.94483990511016,-5.0551600948898425,1.703331813417087,1115.0,run,-0.2646875636137702,-0.01680945889477289,0.7892248858797156,-0.783203125
3.6800011929999528,-60.0,-54.94483990511016,-5.0551600948898425,1.438886984470286,1100.0,run,-0.2646875636137702,-0.018574042652198024,0.6836587043518862,-0.61328125
3.700001052999994,-60.0,-54.94483990511016,-5.0551600948898425,1.3327914278152293,1100.0,run,-0.2646875636137702,-0.020338626409623157,0.6414322317407546,-0.61328125
3.720000765000009,-60.0,-56.4682249235795,-3.5317750764205016,0.9685921741264909,1110.364582538258,run,-0.1849233105702363,-0.021571448480091397,0.4639947676963019,-0.345703125
3.740001179999979,-60.0,-56.4682249235795,-3.5317750764205016,0.7907848634608977,1135.364582538258,run,-0.1849233105702363,-0.02280427055055964,0.39301978207852073,-0.345703125
3.7600013169999897,-60.0,-57.154971694146866,-2.845028305853134,0.7554699239971352,1160.364582538258,run,-0.14896533374872037,-0.02379737277555111,0.3646297878314083,-0.345703125
3.7800010659999543,-60.0,-57.154971694146866,-2.845028305853134,0.0,1500,idle,-0.14896533374872037,-0.02379737277555111,0.3646297878314083,-0.017578125
3.8000008519999824,-60.0,-57.154971694146866,-2.845028305853134,0.0,1500,idle,-0.14896533374872037,-0.02379737277555111,0.3646297878314083,-0.017578125
3.8200008779999735,-60.0,-56.92608465762294,-3.073915342377063,-0.22565615461931487,1500,idle,-0.1609498309561456,-0.02487037164859208,-0.022898084867436663,0.28125
3.8400007199999777,-60.0,-56.92608465762294,-3.073915342377063,-0.6135059269800721,1500,dwell,-0.1609498309561456,-0.025943370521633053,-0.17790923394697464,0.28125
3.8600008759999582,-60.0,-55.95656745802819,-4.043432541971811,-0.8197043051881783,1500,dwell,-0.2117136328190757,-0.02735479474042689,-0.23991369357878983,0.28125
3.880000902000006,-60.0,-55.95656745802819,-4.043432541971811,-1.0520540670856318,1500,dwell,-0.2117136328190757,-0.02876621895922073,-0.33268422743151593,0.39453125
3.9000007619999906,-60.0,-55.95656745802819,-4.043432541971811,-1.1452480282039958,1500,dwell,-0.2117136328190757,-0.03017764317801457,-0.36979244097260633,0.39453125
3.920000861999995,-60.0,-54.78712176214509,-5.212878237854909,-1.2792904165269323,1500,dwell,-0.2729456662683848,-0.031997280953137135,-0.3986982263890425,0.41796875
3.9400006669999925,-60.0,-54.78712176214509,-5.212878237854909,-1.3087420932759053,1500,dwell,-0.2729456662683848,-0.0338169187282597,-0.410260540555617,0.41796875
3.9600006929999836,-60.0,-53.58998484663002,-6.410015153369983,-1.3836576049783758,1500,dwell,-0.3356276085871065,-0.036054436118840405,-0.4148854662222468,0.41796875
