wall,t,tgt,ref,angle,err,u,pwm,P,I,D,gz
1786719171.3457534,10.80000082000015,60.0,60.0,61.534706868090296,-1.5347068680902964,0.21446881096257367,1361.3699804919765,-0.03749996306160436,0.2506763544413178,0.0009709913280464217,0.0
1786719171.363714,10.820000991000143,60.0,60.0,61.534706868090296,-1.5347068680902964,0.21356478791093203,1361.6592678685017,-0.03749996306160436,0.25035492618650407,0.00038839653121856864,0.0
1786719171.3866456,10.840001200000188,60.0,60.0,61.530807581378355,-1.5308075813783546,0.21310559928563083,1361.806208228598,-0.037404685513360646,0.2500343145963896,0.00015535861248742747,0.0
1786719171.403719,10.860000704000186,60.0,60.0,61.530807581378355,-1.5308075813783546,0.2126917725280239,1361.9386327910324,-0.037404685513360646,0.24971370300627505,6.2143444994971e-05,0.0
1786719171.4250417,10.880000950000067,60.0,60.0,61.52739697488238,-1.5273969748823788,0.21241721170889494,1362.0264922531537,-0.0373213486753781,0.24939380573191466,2.4857377997988395e-05,0.0
1786719171.4450083,10.900000973000033,60.0,60.0,61.52739697488238,-1.5273969748823788,0.21032458750773578,1362.6961319975246,-0.0373213486753781,0.2490739084575543,-0.0017478695488008047,0.001953125
1786719171.463395,10.920000847999972,60.0,60.0,61.52739697488238,-1.5273969748823788,0.20929559946265588,1363.0254081719502,-0.0373213486753781,0.24875401118319393,-0.002456960319520322,0.001953125
1786719171.4866452,10.940000778000012,60.0,60.0,61.53454327486517,-1.5345432748651717,0.20851744883035878,1363.2744163742852,-0.037495965725027024,0.24843261719126514,-0.002740596627808129,0.001953125
1786719171.5037003,10.960000820000005,60.0,60.0,61.53454327486517,-1.5345432748651717,0.20808260031511486,1363.4135678991634,-0.037495965725027024,0.24811122319933637,-0.0028540511511232513,0.001953125
1786719171.5251179,10.980000935000135,60.0,60.0,61.52984931206629,-1.5298493120662897,0.2078305196619893,1363.4942337081634,-0.03738127057689776,0.24779081230867722,-0.0028994329604493004,0.001953125
1786719171.5450253,11.000000681000074,60.0,60.0,61.52984931206629,-1.5298493120662897,0.21100758104759973,1362.477574064768,-0.03738127057689776,0.2474704014180181,0.0005980393158202797,-0.001953125
1786719171.5638201,11.020000944000003,60.0,60.0,61.52984931206629,-1.5298493120662897,0.21208615906744846,1362.1324290984164,-0.03738127057689776,0.24714999052735898,0.001997028226328112,-0.001953125
1786719171.5866408,11.04000076400007,60.0,60.0,61.53405335105052,-1.5340533510505168,0.2104648071899727,1362.6512616992088,-0.0374839946279175,0.24682869914483396,0.0007988112905312449,0.0
1786719171.6037786,11.060000861000162,60.0,60.0,61.53405335105052,-1.5340533510505168,0.20966422903312895,1362.9074467093988,-0.0374839946279175,0.24650740776230895,0.00031952451621249794,0.0
1786719171.6257875,11.080000717000075,60.0,60.0,61.535033032919756,-1.5350330329197561,0.20912728479694,1363.0792688649792,-0.03750793277185395,0.24618591119569305,0.00012780980648499917,0.0
1786719171.6452541,11.100001889000168,60.0,60.0,61.535033032919756,-1.5350330329197561,0.2087291023464331,1363.2066872491414,-0.03750793277185395,0.24586441462907715,5.1123922593999676e-05,0.0
1786719171.6638665,11.120001022999986,60.0,60.0,61.535033032919756,-1.5350330329197561,0.20837693142626082,1363.3193819435965,-0.03750793277185395,0.24554291806246126,2.044956903759987e-05,0.0
1786719171.6868439,11.14000117500018,60.0,60.0,61.5286776400404,-1.5286776400403994,0.20644064416162597,1363.9389938682798,-0.03735264122845034,0.2452227525662174,-0.0017496326723849599,0.001953125
1786719171.7037742,11.160000939000156,60.0,60.0,61.5286776400404,-1.5286776400403994,0.20541244576881307,1364.2680173539798,-0.03735264122845034,0.2449025870699735,-0.002457665568953984,0.001953125
1786719171.7255864,11.180001129000175,60.0,60.0,61.52916731398065,-1.5291673139806508,0.20479710212241556,1364.464927320827,-0.03736460621997638,0.24458231901665944,-0.0027408787275815935,0.001953125
1786719171.7447271,11.200001059999977,60.0,60.0,61.52916731398065,-1.5291673139806508,0.2078791738056504,1363.478664382192,-0.03736460621997638,0.24426205096334536,0.0006614610089673626,-0.001953125
1786719171.763996,11.220001009000043,60.0,60.0,61.52916731398065,-1.5291673139806508,0.2089198416469559,1363.1456506729742,-0.03736460621997638,0.24394178291003127,0.002022396903586945,-0.001953125
1786719171.7868426,11.240000680000094,60.0,60.0,61.518116571636654,-1.5181165716366536,0.2076561560256589,1363.550030071789,-0.03709458564580715,0.24362382931878152,0.0008089587614347779,0.0
1786719171.8037791,11.260000907000176,60.0,60.0,61.518116571636654,-1.5181165716366536,0.20685282717754827,1363.8070953031845,-0.03709458564580715,0.24330587572753173,0.0003235835045739112,0.0
