wall,t,offset,pwm,angle,gz
1786718763.297905,47.041020645,135,1365,43.83368211953359,0.001953125
1786718763.3225815,47.06000173099994,135,1365,43.83368211953359,0.001953125
1786718763.334452,47.080001564999975,135,1365,43.83368211953359,0.001953125
1786718763.3705168,47.10329902900003,135,1365,43.838158856467686,0.001953125
1786718763.374361,47.12000136300003,135,1365,43.838158856467686,0.001953125
1786718763.39687,47.14000160399996,135,1365,43.83993508220104,0.001953125
1786718763.416531,47.16000158600002,135,1365,43.83993508220104,0.00390625
1786718763.433864,47.180000939000024,135,1365,43.83993508220104,0.00390625
1786718763.4559572,47.20000053199999,135,1365,43.844541637680265,-0.00390625
1786718763.4730873,47.22000036600002,135,1365,43.844541637680265,-0.00390625
1786718763.4955704,47.24000034799997,135,1365,43.849131118260175,-0.00390625
1786718763.51552,47.26000042299995,135,1365,43.849131118260175,0.0
1786718763.5337937,47.280000460999986,135,1365,43.849131118260175,0.0
1786718763.5558696,47.30000033199997,135,1365,43.849131118260175,-0.001953125
1786718763.5737584,47.320000499,135,1365,43.849131118260175,-0.001953125
1786718763.5957158,47.34000072200001,135,1365,43.8446376400519,-0.001953125
1786718763.6147463,47.36000038899999,135,1365,43.8446376400519,0.005859375
1786718763.633845,47.380000852999956,135,1365,43.8446376400519,0.005859375
1786718763.656031,47.400000761,135,1365,43.85115112447292,-0.001953125
1786718763.6737692,47.42000037299999,135,1365,43.85115112447292,-0.001953125
1786718763.6955914,47.44000048499993,135,1365,43.849113197260465,-0.001953125
1786718763.7155316,47.460000430000036,135,1365,43.849113197260465,-0.001953125
1786718763.733763,47.48000059699996,135,1365,43.849113197260465,-0.001953125
1786718763.755877,47.50000028299996,135,1365,43.8446191321365,-0.00390625
1786718763.7737415,47.52000045099999,135,1365,43.8446191321365,-0.00390625
1786718763.7947948,47.54000030299994,135,1365,43.8446191321365,-0.00390625
1786718763.8147254,47.56000058199993,135,1365,43.8446191321365,0.0
1786718763.8337393,47.580000618999975,135,1365,43.8446191321365,0.0
1786718763.8558426,47.60000043499997,135,1365,43.8446191321365,0.0
1786718763.87375,47.620000398,135,1365,43.8446191321365,0.0
1786718763.895297,47.640000602999976,135,1365,43.83812412858984,0.0
1786718763.9155145,47.660000269999955,135,1365,43.83812412858984,0.0
1786718763.9337473,47.680000456000016,135,1365,43.83812412858984,0.0
1786718763.9551017,47.70000040100001,135,1365,43.83351632500552,0.0
1786718763.972865,47.72000043899993,135,1365,43.83351632500552,0.0
1786718763.9947937,47.74000034699998,135,1365,43.83351632500552,0.0
1786718764.01472,47.76000053300004,135,1365,43.83351632500552,0.0
1786718764.033793,47.78000051599997,135,1365,43.83351632500552,0.0
1786718764.0551348,47.80000055400001,135,1365,43.83351632500552,0.0
1786718764.0737617,47.820000444000016,135,1365,43.83351632500552,0.0
1786718764.0948887,47.840000463000024,135,1365,43.83351632500552,0.0
1786718764.1151333,47.860000539,135,1365,43.83351632500552,0.0
1786718764.133758,47.88000050300002,135,1365,43.83351632500552,0.0
1786718764.1551664,47.90000039300003,135,1365,43.83351632500552,0.0
1786718764.1738183,47.920000708999964,135,1365,43.83351632500552,0.0
1786718764.1948843,47.94000056200002,135,1365,43.83351632500552,0.0
1786718764.2147715,47.960000433000005,135,1365,43.83351632500552,0.0
1786718764.233735,47.98000050899998,135,1365,43.83351632500552,0.0
1786718764.255243,48.000000324999974,135,1365,43.83351632500552,0.0
1786718764.2737813,48.020000511000035,135,1365,43.83351632500552,0.0
1786718764.29492,48.04000043799999,135,1365,43.83351632500552,0.0
1786718764.3148205,48.06000049499994,135,1365,43.83351632500552,0.0
1786718764.3337421,48.080000366000036,135,1365,43.83351632500552,0.0
1786718764.3552258,48.10000044100002,135,1365,43.83351632500552,0.0
1786718764.3737524,48.12000049799997,135,1365,43.83351632500552,0.0
1786718764.394795,48.14000033299999,135,1365,43.83351632500552,0.0
1786718764.4147553,48.16000046299996,135,1365,43.83351632500552,0.0
1786718764.4337487,48.180000278999955,135,1365,43.83351632500552,0.0
1786718764.4552069,48.20000039199999,135,1365,43.83351632500552,0.0
1786718764.4726813,48.22000037399994,135,1365,43.83351632500552,0.0
1786718764.4949846,48.240000709000014,135,1365,43.835422357704886,0.0
1786718764.5148387,48.26000039500002,135,1365,43.835422357704886,0.0
1786718764.5337996,48.28000052599998,135,1365,43.835422357704886,0.0
1786718764.555161,48.30000039699996,135,1365,43.83340324940485,0.0
1786718764.5737364,48.32000028699997,135,1365,43.83340324940485,0.0
1786718764.5949638,48.34000027000002,135,1365,43.835422357704886,0.0
1786718764.6140797,48.36000052999998,135,1365,43.835422357704886,0.0
1786718764.6338727,48.38000086499994,135,1365,43.835422357704886,0.0
1786718764.656508,48.40000075499995,135,1365,43.835422357704886,0.0
1786718764.6737666,48.42000060800001,135,1365,43.835422357704886,0.0
1786718764.6941917,48.440000460999954,135,1365,43.83351632500552,0.0
1786718764.7141523,48.46000073999994,135,1365,43.83351632500552,0.0
1786718764.733744,48.480000389,135,1365,43.83351632500552,0.0
1786718764.755562,48.50000035300002,135,1365,43.83351632500552,0.0
1786718764.7737696,48.52000046599994,135,1365,43.83351632500552,0.0
1786718764.7941535,48.540000299999974,135,1365,43.83351632500552,0.0
1786718764.8141048,48.56000057899996,135,1365,43.83351632500552,0.0
1786718764.8337696,48.58000024699993,135,1365,43.83351632500552,0.0
1786718764.8554745,48.60000034099994,135,1365,43.83553575810191,0.0
1786718764.8737743,48.620000342000026,135,1365,43.83553575810191,0.0
1786718764.8941526,48.640000361000034,135,1365,43.83363002314283,0.0
1786718764.91417,48.660000528999944,135,1365,43.83363002314283,0.0
1786718764.9337769,48.680000382,135,1365,43.83363002314283,0.0
1786718764.95575,48.700000476000014,135,1365,43.83363002314283,0.0
1786718764.972659,48.72000032899996,135,1365,43.83363002314283,0.0
1786718764.9941704,48.74000040399994,135,1365,43.83363002314283,0.0
1786718765.0141165,48.760000331000015,135,1365,43.83363002314283,0.0
1786718765.0337923,48.780000685000005,135,1365,43.83363002314283,0.0
1786718765.0557523,48.800000501,135,1365,43.83363002314283,0.0
1786718765.0738015,48.820000392,135,1365,43.83363002314283,0.0
1786718765.0941923,48.84000035600002,135,1365,43.83363002314283,0.0
1786718765.1141915,48.86000052500003,135,1365,43.83363002314283,0.0
1786718765.1337612,48.88000037799998,135,1365,43.83363002314283,0.0
1786718765.155686,48.90000037999994,135,1365,43.838105008054015,0.0
1786718765.1737645,48.92000034399996,135,1365,43.838105008054015,0.0
1786718765.19418,48.94000038299998,135,1365,43.838105008054015,0.0
1786718765.214083,48.96000042200001,135,1365,43.838105008054015,0.0
1786718765.2337658,48.980000312000016,135,1365,43.838105008054015,0.0
1786718765.2557511,49.00000038799999,135,1365,43.838105008054015,0.0
1786718765.2731001,49.02000051899995,135,1365,43.838105008054015,0.0
1786718765.294723,49.040000427999985,135,1365,43.838105008054015,0.0
1786718765.3146763,49.060000521999996,135,1365,43.838105008054015,0.0
1786718765.333088,49.080000283000004,135,1365,43.838105008054015,0.0
1786718765.3557143,49.10000052600003,135,1365,43.838105008054015,0.0
1786718765.3730936,49.12000036099994,135,1365,43.838105008054015,0.0
1786718765.3947403,49.140000566000026,135,1365,43.838105008054015,0.0
1786718765.41467,49.16000030800001,135,1365,43.838105008054015,0.0
